police_score,city_name
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
32,Los Angeles
32,Los Angeles
27,Unincorporated
32,Los Angeles
32,Los Angeles
32,Los Angeles
32,Los Angeles
32,Los Angeles
32,Long Beach
32,Long Beach
27,Lomita
26,Long Beach
26,Long Beach
26,Long Beach
26,Long Beach
27,Unincorporated
31,Redondo Beach
31,Redondo Beach
31,Redondo Beach
35,Signal Hill
27,Unincorporated
32,Los Angeles
26,Long Beach
27,Carson
39,Torrance
31,Redondo Beach
31,Redondo Beach
31,Redondo Beach
31,Redondo Beach
31,Redondo Beach
31,Redondo Beach
27,Cerritos
45,Whittier
27,Unincorporated
27,Unincorporated
33,Hermosa Beach
27,Unincorporated
33,Santa Monica
28,Manhattan Beach
33,Hermosa Beach
27,Unincorporated
31,Redondo Beach
39,Torrance
48,Palos Verdes Estates
48,Rancho Palos Verdes
32,Los Angeles
26,Long Beach
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Malibu
32,Los Angeles
32,Los Angeles
27,Unincorporated
32,Los Angeles
32,Los Angeles
27,Malibu
32,Los Angeles
32,Los Angeles
32,Los Angeles
27,Malibu
27,Unincorporated
27,Unincorporated
27,Unincorporated
33,Santa Monica
27,Avalon
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
26,Long Beach
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,El Segundo
27,Unincorporated
27,Unincorporated
27,Unincorporated
32,Los Angeles
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Avalon
27,Unincorporated
27,Unincorporated
28,Manhattan Beach
27,Unincorporated
27,Unincorporated
27,Hidden Hills
27,Unincorporated
27,Agoura Hills
27,Unincorporated
27,Unincorporated
27,Rolling Hills
27,Unincorporated
27,Unincorporated
27,Diamond Bar
27,Unincorporated
27,Unincorporated
27,La Puente
27,Unincorporated
27,Unincorporated
27,Rolling Hills Estates
27,Rancho Palos Verdes
48,Palos Verdes Estates
27,Hawaiian Gardens
27,Unincorporated
27,Lakewood
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Artesia
26,Long Beach
27,Unincorporated
27,Walnut
27,Unincorporated
47,South El Monte
50,Covina
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
52,West Covina
27,Unincorporated
27,Unincorporated
47,El Monte
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
43,Pomona
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,La Habra Heights
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
44,Huntington Park
27,La Mirada
27,Unincorporated
27,Unincorporated
27,Unincorporated
31,Redondo Beach
27,Unincorporated
27,Unincorporated
42,Bell
27,Lawndale
27,Unincorporated
53,Monterey Park
27,Rosemead
27,Unincorporated
27,Unincorporated
27,Bellflower
27,Unincorporated
27,Unincorporated
27,West Hollywood
47,Alhambra
30,Beverly Hills
45,Gardena
27,Paramount
27,Compton
27,Unincorporated
27,El Segundo
27,Norwalk
43,Hawthorne
27,Lynwood
27,Unincorporated
40,South Gate
27,Cudahy
57,Downey
45,Santa Fe Springs
32,Bell Gardens
42,Inglewood
27,Unincorporated
27,Maywood
27,Unincorporated
31,Vernon
27,Commerce
27,Pico Rivera
45,Montebello
33,Santa Monica
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Malibu
27,Unincorporated
27,Temple City
27,Unincorporated
50,South Pasadena
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
46,San Marino
21,Irwindale
35,Azusa
27,Calabasas
27,Westlake Village
27,Unincorporated
27,Unincorporated
46,Burbank
27,Unincorporated
27,Unincorporated
39,Glendale
45,San Fernando
32,Los Angeles
27,Bradbury
27,Industry
27,Unincorporated
33,Hermosa Beach
28,Manhattan Beach
50,La Verne
42,Sierra Madre
47,Arcadia
43,Glendora
43,Monrovia
27,Duarte
27,Unincorporated
27,La Canada Flintridge
27,Unincorporated
27,Santa Clarita
56,Baldwin Park
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Unincorporated
27,Palmdale
27,Unincorporated
27,Lancaster
32,Los Angeles
40,Culver City
27,Unincorporated
27,Unincorporated
46,San Gabriel
27,Claremont
27,San Dimas
27,Unincorporated
27,Unincorporated
26,Pasadena
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,
#N/A,